name,Amphibians,Arachnids,Birds,Clams,Conifers and Cycads,Crustaceans,Ferns and Allies,Fishes,Flowering Plants,Insects,Lichens,Mammals,Reptiles,Snails,Grand Total,adm1_code
Alabama,3,0,5,63,0,2,3,16,22,1,0,6,10,13,144,USA-3541
Alaska,0,0,4,0,0,0,1,0,0,0,0,3,0,0,8,USA-3563
Arizona,2,0,9,0,0,0,0,20,26,0,0,10,6,2,75,USA-3520
Arkansas,1,0,5,13,0,2,0,4,5,1,0,4,1,0,36,USA-3528
California,15,0,16,0,3,8,0,19,172,25,0,24,9,1,292,USA-3521
Colorado,0,0,7,0,0,0,0,5,17,3,0,5,0,0,37,USA-3522
Connecticut,0,0,3,1,0,0,0,0,2,1,0,2,3,0,12,USA-3537
Delaware,0,0,3,1,0,0,0,0,5,0,0,2,3,0,14,USA-3555
District of Columbia,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,USA-3556
Floria,2,0,13,15,1,2,1,1,64,5,1,17,11,1,134,USA-3542
Georgia,2,0,6,18,1,0,3,8,25,0,1,4,6,2,76,USA-3543
Hawaii,0,1,24,0,0,3,23,0,402,28,0,1,4,4,490,USA-3517
Idaho,0,0,2,0,1,0,0,2,4,0,0,5,0,4,18,USA-3518
illinois,0,0,3,13,0,1,0,1,7,3,0,3,1,1,33,USA-3546
Indiana,0,0,4,13,0,0,0,0,6,3,0,3,2,0,31,USA-3547
Iowa,0,0,3,3,0,0,0,2,5,1,0,2,1,1,18,USA-3529
Kansas,0,0,3,3,0,0,0,6,2,1,0,3,0,0,18,USA-3530
Kentucky,0,0,2,28,0,2,0,7,9,0,0,4,0,0,52,USA-3548
Louisiana,0,0,7,5,0,0,1,2,2,0,0,2,7,0,26,USA-3535
Maine,0,0,3,0,0,0,0,1,3,1,0,2,2,0,12,USA-3561
Maryland,0,0,3,2,0,1,0,1,8,3,0,3,5,0,26,USA-3557
Massachusetts,0,0,3,1,0,0,0,0,5,4,0,1,4,0,18,USA-3513
Michigan,0,0,3,5,0,0,1,0,6,5,0,4,2,0,26,USA-3562
Minnesota,0,0,3,5,0,0,0,1,5,3,0,3,1,0,21,USA-3514
Mississippi,1,0,6,19,0,0,1,4,5,1,0,4,10,0,51,USA-3544
Missouri,2,0,2,13,0,3,0,7,8,2,0,4,0,1,42,USA-3531
Montana,0,0,4,0,1,0,0,3,2,2,0,6,0,0,18,USA-3515
Nebraska,0,0,4,2,0,0,0,2,3,2,0,1,0,0,14,USA-3532
Nevada,2,0,4,0,1,0,0,25,11,3,0,2,1,1,50,USA-3523
New Hamsphere,0,0,3,1,0,0,0,0,3,1,0,2,2,0,12,USA-3538
New Jersey,0,0,3,1,0,0,0,0,6,1,0,3,3,0,17,USA-3558
New Mexico,2,0,6,1,0,2,1,15,16,2,0,7,3,6,61,USA-3524
New York,0,0,4,6,0,0,1,0,7,2,0,2,4,1,27,USA-3559
North Carolina,1,1,7,9,0,0,0,5,26,1,1,8,7,2,68,USA-3549
North Dakota,0,0,3,0,0,0,0,1,1,1,0,1,0,0,7,USA-3516
Ohio,0,0,3,12,0,0,0,0,5,4,0,2,2,0,28,USA-3550
Oklahoma,0,0,4,6,0,0,0,5,1,1,0,4,1,0,22,USA-3533
Oregon,1,0,7,0,1,2,0,7,16,4,0,4,4,1,47,USA-3525
Pennsylvania,0,0,2,9,0,0,0,0,5,0,0,2,2,0,20,USA-3560
Rhode Island,0,0,3,0,0,0,0,0,2,1,0,1,2,0,9,USA-3539
South Carolina,1,0,6,3,0,0,0,0,21,0,1,2,5,0,39,USA-3545
South Dakota,0,0,3,2,0,0,0,2,3,2,0,3,0,0,15,USA-3534
Tennessee,0,1,4,61,0,1,1,33,19,0,1,5,1,4,131,USA-3551
Texas,8,9,14,1,0,3,0,14,35,9,0,6,7,5,111,USA-3536
Utah,0,0,5,0,0,0,0,10,25,1,0,4,1,0,46,USA-3526
Vermont,0,0,0,1,0,0,0,0,2,0,0,3,0,0,6,USA-3540
Virginia,1,1,4,26,0,3,0,9,17,3,1,6,5,1,77,USA-3552
Washington,1,0,7,0,1,0,0,1,8,2,0,11,1,0,32,USA-3519
West Virginia,1,0,1,13,0,3,0,2,6,1,0,4,0,1,32,USA-3554
Wisconsin,0,0,3,5,0,0,0,0,7,5,0,3,1,1,25,USA-3553
Wyoming,1,0,3,0,1,0,0,1,4,1,0,6,0,0,17,USA-3527
