Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status ,Group,State,adm1_code
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals, Alabama,USA-3541
Trichechus manatus,West Indian Manatee,Wherever found,4,Threatened,Mammals, Alabama,USA-3541
Myotis grisescens,Gray bat,Wherever found,3,Endangered,Mammals, Alabama,USA-3541
Peromyscus polionotus trissyllepsis,Perdido Key beach mouse,Wherever found,4,Endangered,Mammals, Alabama,USA-3541
Peromyscus polionotus ammobates,Alabama beach mouse,Wherever found,4,Endangered,Mammals, Alabama,USA-3541
Picoides borealis,Red-cockaded woodpecker,Wherever found,4,Endangered,Birds, Alabama,USA-3541
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds, Alabama,USA-3541
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles, Alabama,USA-3541
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles, Alabama,USA-3541
Lepidochelys kempii,Kemp's ridley sea turtle,Wherever found,2,Endangered,Reptiles, Alabama,USA-3541
Pseudemys alabamensis,Alabama red-bellied turtle,Wherever found,4,Endangered,Reptiles, Alabama,USA-3541
Sternotherus depressus,Flattened musk turtle,Black Warrior R. system upstream from Bankhead Dam,4,Threatened,Reptiles, Alabama,USA-3541
Drymarchon couperi,Eastern indigo snake,Wherever found,4,Threatened,Reptiles, Alabama,USA-3541
Gopherus polyphemus,Gopher tortoise,Western DPS,4,Threatened,Reptiles, Alabama,USA-3541
Phaeognathus hubrichti,Red Hills salamander,Wherever found,4,Threatened,Amphibians, Alabama,USA-3541
Rana sevosa,dusky gopher frog,Wherever found,4,Endangered,Amphibians, Alabama,USA-3541
Etheostoma nuchale,Watercress darter,Wherever found,4,Endangered,Fishes, Alabama,USA-3541
Speoplatyrhinus poulsoni,Alabama cavefish,Wherever found,4,Endangered,Fishes, Alabama,USA-3541
Etheostoma boschungi,Slackwater darter,Wherever found,4,Threatened,Fishes, Alabama,USA-3541
Cottus paulus (=pygmaeus),Pygmy Sculpin,Wherever found,4,Threatened,Fishes, Alabama,USA-3541
Scaphirhynchus suttkusi,Alabama sturgeon,Wherever found,4,Endangered,Fishes, Alabama,USA-3541
Notropis cahabae,Cahaba shiner,Wherever found,4,Endangered,Fishes, Alabama,USA-3541
